hash,status,reason,confidence
3d083ca2726ee85092931a12b952cca6beda3f6c356e865e5f18247ffb1796e9,Flagged,Group has large number of flagged users,0.80
66b2b991e6af6f2b37c5c578004b871e1575d05247274483a737bb79e70e9439,Flagged,Group has large number of flagged users,0.77
795985d56640d769883244f82234fb20e756e3c5d9efd20238852414a64ed5dc,Flagged,Group has large number of flagged users,0.79
77d5eaba85580605eb213e443ad097535f560b68c1ac17d9f11c888a964bb9f5,Flagged,Group has large number of flagged users,0.78
3e107d631d0e0c6ceefa7c9e5a5f4c10bb62bfadea8d439a071ba5ed140c95a5,Flagged,Group has large number of flagged users,0.77
54b5031a4866ee18d3cd85b36c0e8f043d1c13a1fa0a97917d5fec2c0b81e1a1,Flagged,Group has large number of flagged users,0.79
0e74ac069ae7897556ecb1fa8eb43c7d51e3965023542758d5079974f28235a5,Flagged,Group has large number of flagged users,0.78
dad3041a0f8fee2f19a21659700ffa61ad28cd9a5a6b1d06f4b8253db011cd15,Flagged,Group has large number of flagged users,0.78
e65410f37fecfabd0c377a4808de77209118b189c95eb46083fe8e36a5905b81,Flagged,Group has large number of flagged users,0.80
b49b1413733aef798e94e756ce1468cfee6066f748fe59cdcd6ef2787338b764,Flagged,Group has large number of flagged users,0.79
918e17ba6c0573ef3b71d2de921f04f1e1c726e41038e20e1950285c14c62f85,Flagged,Group has large percentage of flagged users,0.66
5bb163cd78ceb2408696f3e65f75e4f2bae8816c15ee0d18b776f643c885aa7e,Flagged,Group has large number of flagged users,0.81
